"시도, 시군구 사무소 소재지 ",,,,
;[1],,,,
대덕구,대덕구 대전로 1033번길 20,34443,608-6114,daedeok.go.kr
,,,,
울산광역시,남구 중앙로 201,44675,(052)120,ulsan.go.kr
,,,,
중구,중구 단장골길 1,44475,290-3000,junggu.ulsan.kr
남구,남구 돋질로 233,44701,275-7541,ulsannamgu.go.kr
동구,동구 봉수로 155,44021,209-3000,donggu.ulsan.kr
북구,북구 산업로 1010,44248,241-7000,bukgu.ulsan.kr
울주군,남구 문수로 382,44663,229-7000,ulju.ulsan.kr
,,,,
세종특별자치시,한누리대로 2130 (제1청사) 군청로 93 (제2청사),30151 30033,(044)120 300-3114,sejong.go.kr
,,,,
경기도,수원시 팔달구 효원로 1,16444,(031)120,gg.go.kr
경기도북부청사,의정부시 청사로1 ,11780,(031)120,gg.go.kr
,,,,
수원시,수원시 팔달구 효원로 241,16490,1899-3300,suwon.go.kr
장안구,수원시 장안구 송원로 101,16295,1899-3300,jangan.suwon.go.kr
권선구,수원시 권선구 호매실로 12,16626,1899-3300,ksun.suwon.go.kr
팔달구,수원시 팔달구 창룡대로 23,16255,1899-3300,paldal.suwon.go.kr
영통구,수원시 영통구 효원로 407,16545,1899-3300,yt.suwon.go.kr
성남시,성남시 중원구 성남대로 997,13437,1577-3100,seongnam.go.kr
수정구,성남시 수정구 수정로 283,13259,1577-3100,sujeong-gu.or.kr
;,,,,
,,,,
,,,,
;[5],,,,
구분,소      재      지,우편번호,대표전화,홈페이지 (www.-.-.-)
중원구,성남시 중원구 제일로 36,13371,1577-3100,jungwon-gu.or.kr
분당구,성남시 분당구 분당로 50,13594,1577-3100,bundang-gu.go.kr
고양시,고양시 덕양구 고양시청로 10,10460,909-9000,goyang.go.kr
덕양구,고양시 덕양구 화중로104번길 13,10497,909-9000,goyang.go.kr/3gu/d_gu
일산동구,고양시 일산동구 중앙로 1256,10409,909-9000,goyang.go.kr/3gu/w_gu
일산서구,고양시 일산서구 중앙로 1542,10380,909-9000,goyang.go.kr/3gu/s_gu
용인시,용인시 처인구 중부대로 1199,17019,1577-1122,yongin.go.kr
처인구,용인시 처인구 금령로 50,17049,1577-1122,cheoingu.go.kr
기흥구,용인시 기흥구 관곡로 95,16963,1577-1122,giheunggu.go.kr
수지구,용인시 수지구 포은대로 435,16835,1577-1122,sujigu.go.kr
부천시,부천시 원미구 길주로 210,14547,(032)320-3000,bucheon.go.kr
안산시,안산시 단원구 화랑로 387,15335,1666-1234,iansan.net
상록구,안산시 상록구 석호로 110,15585,1666-1234,sangnok-gu.iansan.net
단원구,안산시 단원구 중앙대로 685,15396,1666-1234,danwon-gu.iansan.net
안양시,안양시 동안구 시민대로 235,14053,8045-2114,anyang.go.kr
만안구,안양시 만안구 안양로 128,14034,8045-3114,manan.anyang.go.kr
동안구,안양시 동안구 동안로 158,14047,8045-4114,dongan.anyang.go.kr
남양주시,남양주시 경춘로 1037,12232,592-4900,nyj.go.kr
남양주시(2청사),남양주시 경춘로 522,12249,592-4900,nyj.go.kr
화성시,화성시 남양읍 시청로 159,18274,1577-4200,hscity.go.kr
평택시,평택시 경기대로 245,17901,8024-5000,pyeongtaek.go.kr
의정부시,의정부시 시민로 1 ,11622,828-2114,ui4u.go.kr
시흥시,시흥시 시청로 20,14998,310-2114,siheung.go.kr
;,,,,
,,,,
,,,,
;[6],,,,
구분,소      재      지,우편번호,대표전화,홈페이지 (www.-.-.-)
파주시,파주시 시청로 50,10932,940-4114,paju.go.kr
광명시,광명시 시청로 20,14234,1688-3399,gm.go.kr
김포시,김포시 사우중로 1,10109,980-2114,gimpo.go.kr
군포시,군포시 청백리길 6,15835,392-3000,gunpo.go.kr
광주시,광주시 행정타운로 50,12738,760-2000,gjcity.go.kr
이천시,이천시 부악로 40,17379,644-2000,icheon.go.kr
양주시,양주시 부흥로 1533,11498,8082-4114,yangju.go.kr
오산시,오산시 성호대로 141,18132,8036-8036,osan.go.kr
구리시,구리시 아차산로 439,11954,557-1010,guri.go.kr
안성시,안성시 시청길 25,17586,678-2114,anseong.go.kr
포천시,포천시 중앙로 87,11147,538-2114,pcs21.go.kr
의왕시,의왕시 시청로 11,16075,345-2114,uw21.net
하남시,하남시 대청로 10,12951,790-6114,hanam.go.kr
여주시,여주시 세종로 1,12619,883-2114,yeoju.go.kr
양평군,양평군 양평읍 군청앞길 2,12554,773-5101,yp21.go.kr
동두천시,동두천시 방죽로 23 ,11317,860-2114,ddc.go.kr
과천시,과천시 관문로 69,13806,(02)502-5001,gccity.go.kr
가평군,가평군 가평읍 석봉로 181,12417,580-2114,gp.go.kr
연천군,연천군 연천읍 연천로 220,11017,839-2114,yeoncheon.go.kr
,,,,
강원도,춘천시 중앙로 1,24266,(033)254-2011,provin.gangwon.kr
,,,,
춘천시,춘천시 삭주로 3,24264,253-3700,chunchon.go.kr
원주시,원주시 시청로 1,26384,742-2111,wonju.go.kr
강릉시,강릉시 강릉대로 33,25522,660-2018,gangneung.go.kr
동해시,동해시 천곡로 77,25755,530-2114,dh.go.kr
;,,,,
,,,,
,,,,
;[7],,,,
구분,소      재      지,우편번호,대표전화,홈페이지 (www.-.-.-)
태백시,태백시 태붐로 21,26023,552-1360,taebaek.go.kr
속초시,속초시 중앙로 183,24826,639-2114,sokcho.gangwon.kr
삼척시,삼척시 중앙로 296,25914,572-2011,samcheok.go.kr
홍천군,홍천군 홍천읍 석화로 93,25121,432-7801,hongcheon.gangwon.kr
횡성군,횡성군 횡성읍 태기로 15,25220,340-2114,hsg.go.kr
영월군,영월군 영월읍 하송로 64,26235,1577-0545,yw.go.kr
평창군,평창군 평창읍 군청길 77,25374,330-2000,happy700.or.kr
정선군,정선군 정선읍 봉양3길 21,26131,562-3911,jeongseon.go.kr
철원군,철원군 갈말읍 삼부연로 51,24040,450-5114,cwg.go.kr
화천군,화천군 화천읍 화천새싹길 45,24125,442-1211,ihc.go.kr
양구군,양구군 양구읍 관공서로 38,24522,481-2191,yanggu.go.kr
인제군,인제군 인제읍 인제로 187번길 8,24631,1588-2201,inje.go.kr
고성군,고성군 간성읍 고성중앙길 9,24735,680-3114,gwgs.go.kr
양양군,양양군 양양읍 군청길 1,25024,670-2114,yangyang.go.kr
,,,,
충청북도,청주시 상당구 상당로 82,28515,(043)220-211,chungbuk.go.kr
,,,,
청주시,청주시 상당구 상당로 155,28542,201-0001,cheongju.go.kr
상당구,청주시 상당구 상당로 69번길 38  ,28547,201-0001,cheongju.go.kr/sangdang
서원구,청주시 서원구 사직대로 227 ,28565,201-0001,cheongju.go.kr/seowon
흥덕구,청주시 흥덕구 대농로 88 ,28426,201-0001,cheongju.go.kr/heungdeok
청원구,청주시 청원구 직지대로 871 ,28488,201-0001,cheongju.go.kr/cheongwon
충주시,충주시 으뜸로 21,27339,043-120,chungju.go.kr
제천시,제천시 내토로 295,27188,641-5114,okjc.go.kr
보은군,보은군 보은읍 군청길 38,28937,540-3000,boeun.go.kr
;,,,,
,,,,
,,,,
;[8],,,,
구분,소      재      지,우편번호,대표전화,홈페이지 (www.-.-.-)
옥천군,옥천군 옥천읍 중앙로 99,29032,730-3114,oc.go.kr
영동군,영동군 영동읍 동정로 1,29140,740-3114,yd21.go.kr
증평군,증평군 증평읍 광장로 88,27927,835-3114,jp.go.kr
진천군,진천군 진천읍 상산로 13,27832,539-3114,jincheon.go.kr
괴산군,괴산군 괴산읍 임꺽정로 90,28026,830-3114,goesan.go.kr
음성군,음성군 음성읍 중앙로 173,27690,871-3114,eumseong.go.kr
단양군,단양군 단양읍 중앙1로 10,27010,420-3114,dy21.net
,,,,
충청남도,홍성군 홍북면 충남대로 21 ,32255,041-120,chungnam.go.kr
,,,,
천안시,천안시 번영로 156,31162,1577-3900,cheonan.go.kr
동남구,천안시 동남구 영성로 98,31131,521-4114,dongnam.cheonan.go.kr
서북구,천안시 서북구 성거읍 봉주로 75,31049,521-6114,seobuk.cheonan.go.kr
공주시,공주시 봉황로 1,32552,1588-0088,gongju.go.kr
보령시,보령시 성주산로 77,33483,930-3114,boryeong.chungnam.kr
아산시,아산시 시민로 456,31512,540-2114,asan.go.kr
서산시,서산시 관아문길 1,31974,660-2114,seosan.go.kr
논산시,논산시 시민로 210번길 9,32987,746-5114,nonsan.go.kr
당진시,당진시 시청1로 1 ,31773,350-3114,dangjin.go.kr
계룡시,계룡시 장안로 46,32823,840-2114,gyeryong.go.kr
금산군,금산군 금산읍 군청길 13,32733,750-2114,geumsan.go.kr
부여군,부여군 부여읍 사비로 33,33168,830-2114,buyeo.go.kr
서천군,서천군 서천읍 군청로 57,33638,950-4114,seocheon.go.kr
청양군,청양군 청양읍 문화예술로 222,33323,940-2114,cheongyang.go.kr
홍성군,홍성군 홍성읍 아문길 27,32228,630-1114,hongseong.go.kr
예산군,예산군 예산읍 사직로 33,32435,339-7114,yesan.go.kr
태안군,태안군 태안읍 군청로 1,32144,670-2114,taean.go.kr
;,,,,
,,,,
,,,,
;[9],,,,
구분,소      재      지,우편번호,대표전화,홈페이지 (www.-.-.-)
전라북도,전주시 완산구 효자로 225,54968,(063)280-2114,jeonbuk.go.kr
,,,,
전주시,전주시 완산구 노송광장로 10,54994,222-1000,jeonju.go.kr
완산구,전주시 완산구 서원로 232,55051,220-5114,wansangu.jeonju.go.kr
덕진구,전주시 덕진구 벚꽃로 55,54937,270-6666,deokjingu.jeonju.go.kr
군산시,군산시 시청로 17,54078,454-4000,gunsan.go.kr
익산시,익산시 인북로 32길 1,54622,1577-0072,iksan.go.kr
정읍시,정읍시 충정로 234,56180,539-7114,jeongeup.go.kr
남원시,남원시 시청로 60,55738,620-6114,namwon.go.kr
김제시,김제시 중앙로 40,54386,540-3114,gimje.go.kr
완주군,완주군 용진읍 지암로 61,55352,290-2114,wanju.go.kr
진안군,진안군 진안읍 중앙로 67,55434,430-2114,jinan.go.kr
무주군,무주군 무주읍 주계로 97,55517,320-2114,muju.go.kr
장수군,장수군 장수읍 호비로 10,55634,351-2141,jangsu.go.kr
임실군,임실군 임실읍 수정로 30,55927,640-2114,imsil.go.kr
순창군,순창군 순창읍 경천로 33,56039,650-1114,sunchang.go.kr
고창군,고창군 고창읍 중앙로 245,56428,564-2121,gochang.go.kr
부안군,부안군 부안읍 당산로 91,56305,580-4191,buan.go.kr
,,,,
전라남도,무안군 삼향읍 오룡길 1,58564,(061)247-0011,jeonnam.go.kr
,,,,
목포시,목포시 양을로 203,58613,272-2171,mokpo.go.kr
